Species Name,Scientific Name,Current Population,Population Decline Rate (%),Habitat Loss (%),Climate Threat Level (1-10),Poaching Threat Level (1-10),Conservation Efforts,Protected Area Coverage (%),Extinction Probability (0-100%)
Amur Leopard,Ambystoma mexicanum,3732,27.13,25.09,2,8,High,71.73,87.22
Hainan Gibbon,Panthera pardus orientalis,58,7.52,87.98,8,7,High,13.2,65.41
Hainan Gibbon,Pseudoryx nghetinhensis,1396,29.17,37.59,5,5,Medium,25.22,29.53
Amur Leopard,Nomascus hainanus,1912,18.33,83.84,5,7,Medium,56.18,51.88
Hooded Grebe,Gorilla beringei beringei,4732,29.84,82.66,4,1,Medium,10.72,82.93
Mountain Gorilla,Gorilla beringei beringei,3577,16.13,39.19,4,8,Medium,39.05,94.26
Vaquita,Pholidota,4382,18.33,30.33,8,5,Medium,29.98,68.54
Amur Leopard,Phocoena sinus,2104,11.65,71.67,3,7,High,67.86,51.14
Javan Rhino,Pholidota,3852,27.47,28.35,3,7,Low,8.68,39.91
Axolotl,Phocoena sinus,4321,16.09,51.7,8,8,Low,69.75,53.34
Yangtze Giant Softshell Turtle,Gorilla beringei beringei,239,25.37,18.86,3,7,High,57.77,64.69
Yangtze Giant Softshell Turtle,Rafetus swinhoei,3502,6.99,40.87,2,6,High,27.29,20.35
Hooded Grebe,Pholidota,1695,24.71,16.25,5,6,Medium,19.83,41.23
Pangolin,Nomascus hainanus,1320,17.26,32.68,3,5,Medium,76.26,73.05
Axolotl,Nomascus hainanus,4151,5.14,63.22,6,5,Low,46.54,73.19
Vaquita,Pseudoryx nghetinhensis,642,10.66,89.3,7,4,Low,30.86,71.59
Mountain Gorilla,Gorilla beringei beringei,2432,9.84,30.38,3,7,Medium,8.34,95.05
Hainan Gibbon,Pholidota,2760,23.79,47.87,9,3,Medium,17.43,64.92
Pangolin,Nomascus hainanus,342,16.93,45.84,1,5,High,49.86,41.31
Hainan Gibbon,Gorilla beringei beringei,1889,8.99,24.73,7,3,Medium,43.48,84.12
Vaquita,Nomascus hainanus,516,11.42,58.81,4,8,High,61.82,50.76
Axolotl,Phocoena sinus,4222,17.6,67.98,7,5,Medium,67.61,38.9
Hooded Grebe,Ambystoma mexicanum,952,5.49,21.78,9,6,Low,34.79,63.98
Saola,Rhinoceros sondaicus,645,15.6,70.57,9,1,High,12.57,42.83
Hainan Gibbon,Rafetus swinhoei,1599,21.95,66.01,1,4,Low,64.36,51.3
Axolotl,Gorilla beringei beringei,1472,17.94,25.79,4,9,High,46.53,74.76
Amur Leopard,Pseudoryx nghetinhensis,2001,19.95,61.92,7,5,High,78.48,98.68
Saola,Pholidota,4974,13.17,41.49,6,1,Low,64.73,70.93
Hainan Gibbon,Pseudoryx nghetinhensis,1744,9.58,64.49,9,4,Low,29.68,41.84
Mountain Gorilla,Rafetus swinhoei,2273,25.24,49.69,7,6,Medium,37.14,27.15
Yangtze Giant Softshell Turtle,Rafetus swinhoei,122,27.64,13.85,3,7,High,22.67,48.6
Saola,Rafetus swinhoei,2273,17.77,72.96,7,7,Medium,43.4,21.53
Amur Leopard,Rafetus swinhoei,436,12.63,54.45,5,8,High,58.3,56.72
Vaquita,Nomascus hainanus,1076,17.78,67.98,2,5,Medium,50.94,72.14
Javan Rhino,Podiceps gallardoi,2821,26.97,20.09,3,6,Low,30.66,60.43
Amur Leopard,Pholidota,4389,22.29,67.7,6,2,Low,66.75,88.36
Vaquita,Pholidota,843,26.47,43.09,6,2,Medium,12.88,59.03
Vaquita,Rhinoceros sondaicus,239,13.21,73.94,7,3,Low,15.69,56.53
Axolotl,Ambystoma mexicanum,4490,22.8,57.93,6,4,Medium,35.31,44.46
Yangtze Giant Softshell Turtle,Phocoena sinus,4264,21.33,38.39,9,6,High,57.67,86.17
Hainan Gibbon,Rhinoceros sondaicus,833,19.29,26.15,5,6,High,57.06,91.38
Saola,Phocoena sinus,2528,18.21,75.27,5,3,Low,32.49,97.26
Pangolin,Podiceps gallardoi,3677,18.77,54.82,8,1,Low,57.25,97.52
Saola,Gorilla beringei beringei,4313,26.24,89.0,8,3,Low,9.54,97.45
Yangtze Giant Softshell Turtle,Rafetus swinhoei,4279,27.9,39.88,1,4,High,26.75,76.24
Saola,Podiceps gallardoi,1833,7.82,64.86,3,9,Medium,57.03,64.45
Vaquita,Podiceps gallardoi,1114,19.22,59.83,6,8,Low,18.8,33.62
Saola,Podiceps gallardoi,1051,27.96,61.01,6,4,Medium,20.95,80.6
Javan Rhino,Podiceps gallardoi,717,8.37,68.96,1,7,Low,11.52,78.06
Javan Rhino,Podiceps gallardoi,1393,15.32,21.13,2,9,Low,32.34,86.55
Saola,Pseudoryx nghetinhensis,1901,7.23,53.97,7,2,Low,66.87,56.53
Axolotl,Phocoena sinus,1312,7.84,50.73,1,3,Medium,67.73,90.5
Hooded Grebe,Pseudoryx nghetinhensis,3031,27.6,37.4,5,1,Medium,69.68,76.78
Axolotl,Podiceps gallardoi,686,16.15,44.89,1,8,Medium,7.75,33.52
Saola,Rafetus swinhoei,2574,22.22,51.5,6,2,High,79.51,36.35
Hooded Grebe,Panthera pardus orientalis,3332,8.47,35.67,7,7,High,42.7,84.33
Mountain Gorilla,Pholidota,4767,5.55,33.45,8,7,High,70.45,53.63
Vaquita,Phocoena sinus,1573,27.26,69.06,3,3,Medium,72.88,39.67
Pangolin,Rafetus swinhoei,1270,19.36,15.35,3,2,High,43.59,53.38
Vaquita,Pholidota,3213,5.5,35.04,1,3,Low,8.83,32.75
Mountain Gorilla,Podiceps gallardoi,2363,29.81,62.3,3,8,Medium,49.81,90.45
Vaquita,Pseudoryx nghetinhensis,367,17.3,26.7,5,9,Low,30.06,25.65
Pangolin,Pseudoryx nghetinhensis,3244,16.9,55.78,6,8,Low,20.51,47.91
Hainan Gibbon,Panthera pardus orientalis,428,20.52,34.17,3,2,Medium,18.69,64.0
Amur Leopard,Ambystoma mexicanum,4747,5.2,77.46,4,9,Low,46.94,89.02
Hooded Grebe,Podiceps gallardoi,3965,19.23,38.0,5,6,Medium,12.84,81.74
Vaquita,Rafetus swinhoei,1603,20.74,28.36,5,2,High,66.62,21.77
Pangolin,Rhinoceros sondaicus,4612,12.42,52.41,9,9,Medium,22.05,85.19
Hooded Grebe,Nomascus hainanus,1395,23.17,20.85,8,5,Medium,46.2,70.41
Pangolin,Rhinoceros sondaicus,4417,14.44,73.8,1,6,Low,14.41,30.53
Javan Rhino,Pseudoryx nghetinhensis,2761,22.94,64.4,2,1,Low,69.47,68.78
Hainan Gibbon,Rhinoceros sondaicus,254,8.6,71.64,5,2,Low,56.91,84.61
Amur Leopard,Phocoena sinus,4582,27.84,41.91,3,1,Low,20.49,67.57
Amur Leopard,Pseudoryx nghetinhensis,624,26.99,76.8,7,4,Low,58.68,98.93
Hooded Grebe,Podiceps gallardoi,259,8.77,49.48,6,2,Low,11.22,60.05
Axolotl,Podiceps gallardoi,3103,28.46,17.58,2,1,Low,62.92,73.18
Yangtze Giant Softshell Turtle,Phocoena sinus,1605,18.94,27.92,8,3,Low,41.78,25.56
Yangtze Giant Softshell Turtle,Nomascus hainanus,1939,22.54,66.88,5,4,Low,14.01,84.24
Javan Rhino,Pholidota,520,26.01,81.71,6,4,Medium,46.29,69.3
Hooded Grebe,Phocoena sinus,3977,7.09,17.61,8,3,Low,20.06,64.34
Hooded Grebe,Pholidota,4879,9.23,79.14,6,2,Low,55.46,76.0
Amur Leopard,Gorilla beringei beringei,1375,12.26,73.93,3,8,Medium,58.15,64.28
Yangtze Giant Softshell Turtle,Pseudoryx nghetinhensis,933,16.93,38.52,7,2,High,62.06,80.55
Axolotl,Panthera pardus orientalis,83,13.65,65.14,4,5,High,72.12,66.1
Vaquita,Nomascus hainanus,818,17.65,24.96,6,7,Medium,54.12,61.08
Vaquita,Ambystoma mexicanum,2888,9.65,75.07,6,9,High,41.88,30.67
Vaquita,Nomascus hainanus,2277,22.05,62.59,5,3,Low,69.07,57.27
Pangolin,Pholidota,2136,6.39,45.11,1,1,Low,72.49,62.52
Axolotl,Gorilla beringei beringei,4340,14.04,79.16,8,9,Low,63.63,69.34
Mountain Gorilla,Pholidota,2214,9.48,21.14,2,1,High,75.68,56.02
Mountain Gorilla,Pseudoryx nghetinhensis,3689,23.25,77.66,4,8,Medium,78.46,31.58
Saola,Pholidota,4747,27.09,11.91,3,2,Low,23.85,31.88
Yangtze Giant Softshell Turtle,Rafetus swinhoei,4726,6.97,70.26,6,7,Medium,18.78,76.96
Saola,Podiceps gallardoi,3668,24.63,55.87,1,3,Medium,38.64,72.25
Axolotl,Ambystoma mexicanum,994,27.39,65.74,9,6,Low,79.77,40.5
Yangtze Giant Softshell Turtle,Gorilla beringei beringei,1308,29.35,42.99,5,6,Medium,11.64,55.22
Mountain Gorilla,Rafetus swinhoei,3754,19.48,79.16,5,4,Medium,58.4,44.25
Hooded Grebe,Pholidota,3290,13.18,35.05,4,8,Low,68.81,34.3
Yangtze Giant Softshell Turtle,Ambystoma mexicanum,3965,13.05,32.0,4,5,Medium,79.73,45.77
Javan Rhino,Nomascus hainanus,2663,14.47,34.14,1,7,High,51.48,40.75
Javan Rhino,Rhinoceros sondaicus,3697,20.32,71.95,9,5,Low,33.51,26.51
Axolotl,Rafetus swinhoei,2972,17.26,49.62,9,4,Low,17.49,59.85
Saola,Rhinoceros sondaicus,2956,21.34,52.97,4,6,Low,78.63,55.62
Mountain Gorilla,Phocoena sinus,3055,5.98,76.53,4,3,Low,74.32,76.45
Mountain Gorilla,Rhinoceros sondaicus,869,7.65,76.67,7,6,Low,65.34,69.0
Amur Leopard,Rafetus swinhoei,2095,29.41,22.94,4,6,Low,75.78,47.13
Amur Leopard,Panthera pardus orientalis,2737,29.88,53.98,1,6,Low,9.56,59.21
Javan Rhino,Pseudoryx nghetinhensis,386,23.67,20.08,9,3,High,52.36,62.35
Axolotl,Phocoena sinus,4481,11.41,79.48,2,8,Medium,25.61,92.49
Saola,Rhinoceros sondaicus,4700,28.83,76.96,5,4,High,62.42,97.55
Mountain Gorilla,Pholidota,2804,10.34,77.95,4,2,Medium,12.18,84.43
Vaquita,Rafetus swinhoei,1075,23.29,66.39,8,7,Low,24.4,64.41
Hainan Gibbon,Gorilla beringei beringei,3692,7.88,47.35,6,8,High,68.77,93.32
Hainan Gibbon,Pholidota,2017,21.22,42.38,7,4,Low,61.21,34.07
Saola,Nomascus hainanus,3211,23.99,41.62,2,6,Medium,79.4,75.02
Mountain Gorilla,Pholidota,1061,26.49,15.3,4,8,High,53.3,56.38
Hooded Grebe,Rafetus swinhoei,638,23.36,85.91,4,5,High,27.73,31.44
Javan Rhino,Panthera pardus orientalis,2383,28.09,46.02,2,9,Medium,46.09,25.94
Vaquita,Nomascus hainanus,3984,18.02,84.41,4,6,Medium,75.8,57.98
Saola,Pseudoryx nghetinhensis,1193,21.94,80.34,9,6,High,53.88,38.88
Hainan Gibbon,Rhinoceros sondaicus,4851,14.24,76.29,8,2,High,71.11,39.79
Hooded Grebe,Phocoena sinus,1287,5.26,57.06,1,7,High,6.72,45.3
Yangtze Giant Softshell Turtle,Nomascus hainanus,1961,23.92,18.12,8,9,Medium,32.72,76.75
Saola,Rhinoceros sondaicus,3931,26.75,35.91,9,5,Low,75.15,32.96
Amur Leopard,Gorilla beringei beringei,3434,9.35,58.29,8,5,High,7.95,76.69
Amur Leopard,Nomascus hainanus,1335,5.72,11.08,1,5,Medium,43.93,81.83
Pangolin,Nomascus hainanus,1181,9.11,13.41,8,1,High,30.99,66.96
Saola,Phocoena sinus,4326,27.38,64.21,5,5,Medium,53.47,39.56
Axolotl,Rhinoceros sondaicus,3779,12.39,81.06,9,8,High,17.17,24.07
Axolotl,Pseudoryx nghetinhensis,1881,10.84,78.41,9,3,Medium,54.0,52.23
Vaquita,Phocoena sinus,3641,5.36,23.45,6,9,Medium,79.39,86.95
Javan Rhino,Rhinoceros sondaicus,2320,12.43,82.9,3,9,High,25.34,28.05
Mountain Gorilla,Pseudoryx nghetinhensis,2353,22.89,65.7,7,6,Medium,39.61,78.84
Vaquita,Gorilla beringei beringei,3396,28.98,67.31,3,4,Medium,7.23,56.96
Yangtze Giant Softshell Turtle,Panthera pardus orientalis,3077,12.82,34.32,7,4,Medium,37.55,91.01
Saola,Phocoena sinus,2349,11.02,67.28,8,1,Medium,35.45,48.14
Pangolin,Rhinoceros sondaicus,693,27.2,66.78,5,5,Medium,47.35,75.68
Axolotl,Pseudoryx nghetinhensis,885,26.31,57.57,5,5,Medium,24.26,78.47
Saola,Pseudoryx nghetinhensis,1064,13.2,38.58,4,5,Medium,29.65,35.7
Pangolin,Nomascus hainanus,3763,6.72,74.88,3,1,Medium,50.74,32.49
Hainan Gibbon,Nomascus hainanus,2612,29.8,85.0,8,1,High,73.14,27.33
Mountain Gorilla,Rhinoceros sondaicus,4024,22.02,79.59,6,2,Medium,22.64,75.43
Hooded Grebe,Pholidota,358,28.16,29.44,6,1,Low,55.81,63.3
Amur Leopard,Gorilla beringei beringei,4324,13.55,45.65,2,8,High,44.29,26.85
Amur Leopard,Rafetus swinhoei,1032,21.19,37.39,4,4,High,12.85,44.36
Pangolin,Rafetus swinhoei,459,21.86,66.6,5,6,Low,47.41,31.25
Yangtze Giant Softshell Turtle,Pseudoryx nghetinhensis,513,26.82,76.52,5,8,Medium,58.16,27.32
Saola,Pseudoryx nghetinhensis,95,29.83,27.26,3,5,Low,49.87,43.6
Vaquita,Panthera pardus orientalis,3332,7.72,85.78,5,6,Low,12.83,27.61
Javan Rhino,Podiceps gallardoi,532,20.78,64.19,5,4,Low,69.09,40.55
Hooded Grebe,Pseudoryx nghetinhensis,3161,13.41,27.48,2,6,High,8.08,63.66
Pangolin,Pholidota,3702,25.29,39.69,5,6,Medium,22.7,64.31
Javan Rhino,Gorilla beringei beringei,2518,23.85,18.37,3,3,High,51.18,33.27
Hainan Gibbon,Rafetus swinhoei,639,27.31,57.77,3,4,Medium,21.35,35.09
Hainan Gibbon,Gorilla beringei beringei,27,13.59,23.54,5,6,Low,12.63,87.54
Pangolin,Phocoena sinus,1278,9.61,65.45,9,8,High,43.39,33.19
Pangolin,Pseudoryx nghetinhensis,1186,5.55,68.98,2,7,Medium,59.18,23.61
Hainan Gibbon,Pholidota,1642,11.39,48.35,9,4,Medium,35.81,39.34
Vaquita,Rhinoceros sondaicus,4605,14.18,17.51,3,3,Low,57.38,65.54
Hainan Gibbon,Nomascus hainanus,4563,28.65,58.87,7,8,High,69.55,20.57
Vaquita,Pseudoryx nghetinhensis,3779,17.28,39.78,1,6,High,76.91,97.81
Javan Rhino,Pseudoryx nghetinhensis,3623,18.91,85.97,1,8,High,22.49,38.2
Vaquita,Pholidota,124,27.0,51.06,8,9,High,50.4,38.81
Amur Leopard,Podiceps gallardoi,762,27.13,15.78,9,9,High,25.02,78.35
Amur Leopard,Gorilla beringei beringei,4874,18.2,60.88,3,9,High,70.32,39.61
Saola,Pholidota,2410,7.84,72.35,6,1,High,71.77,51.3
Mountain Gorilla,Ambystoma mexicanum,1880,11.76,22.84,3,3,Low,29.16,62.97
Pangolin,Ambystoma mexicanum,2598,16.42,45.92,6,9,Medium,53.4,21.73
Yangtze Giant Softshell Turtle,Ambystoma mexicanum,331,23.78,69.46,7,4,Low,71.58,86.15
Axolotl,Podiceps gallardoi,4331,22.79,11.64,5,2,Medium,43.13,60.45
Vaquita,Pholidota,3837,21.07,12.32,3,1,Medium,59.04,44.72
Yangtze Giant Softshell Turtle,Panthera pardus orientalis,4466,27.01,64.15,8,5,Medium,65.06,51.58
Saola,Pseudoryx nghetinhensis,843,25.07,68.01,5,4,High,70.39,24.41
Mountain Gorilla,Pseudoryx nghetinhensis,4217,29.55,77.67,1,5,High,43.64,76.72
Yangtze Giant Softshell Turtle,Ambystoma mexicanum,221,27.23,41.97,9,5,Medium,75.64,62.62
Yangtze Giant Softshell Turtle,Nomascus hainanus,1266,9.89,41.18,3,8,Medium,52.17,92.21
Amur Leopard,Pholidota,168,6.44,54.19,2,6,High,16.38,56.67
Hooded Grebe,Pholidota,2629,15.36,70.59,3,3,High,50.93,85.44
Mountain Gorilla,Rhinoceros sondaicus,1357,20.44,61.28,7,9,Medium,27.39,34.88
Axolotl,Rafetus swinhoei,3174,21.08,36.19,8,8,Medium,32.91,24.46
Javan Rhino,Panthera pardus orientalis,3222,11.69,37.72,2,9,Low,65.66,94.93
Saola,Nomascus hainanus,920,26.5,71.04,7,4,High,78.0,40.3
Pangolin,Podiceps gallardoi,2461,13.23,52.77,5,8,High,70.24,85.85
Pangolin,Phocoena sinus,3813,27.98,17.84,9,3,Medium,29.44,40.33
Javan Rhino,Podiceps gallardoi,413,16.79,22.24,7,5,Low,39.02,32.31
Saola,Podiceps gallardoi,1851,5.26,78.1,1,7,High,78.76,77.87
Javan Rhino,Rafetus swinhoei,2658,9.05,89.9,1,1,Low,74.26,81.49
Vaquita,Podiceps gallardoi,1700,7.56,36.85,6,1,Low,78.27,86.65
Saola,Rafetus swinhoei,3495,6.1,40.94,9,3,High,37.47,88.32
Saola,Rhinoceros sondaicus,1266,22.85,22.36,1,4,Medium,65.04,58.17
Yangtze Giant Softshell Turtle,Rafetus swinhoei,4298,9.81,28.86,3,1,Low,70.34,51.62
Mountain Gorilla,Podiceps gallardoi,3194,25.97,43.97,5,8,Medium,8.32,79.33
Mountain Gorilla,Gorilla beringei beringei,1652,11.61,32.75,4,2,High,24.96,64.98
Yangtze Giant Softshell Turtle,Rhinoceros sondaicus,3362,5.81,66.11,1,5,Low,71.26,96.26
Hainan Gibbon,Pseudoryx nghetinhensis,532,25.52,53.03,4,6,Medium,34.16,49.69
Saola,Podiceps gallardoi,4455,16.65,75.78,4,6,Low,25.9,23.39
Hooded Grebe,Rafetus swinhoei,1954,19.99,67.96,4,6,Low,25.45,66.56
Yangtze Giant Softshell Turtle,Phocoena sinus,3581,13.41,20.25,3,1,Low,33.16,47.92
Javan Rhino,Podiceps gallardoi,1570,6.15,19.87,7,3,High,23.3,47.07
Hainan Gibbon,Rhinoceros sondaicus,4757,14.25,81.65,1,3,Medium,5.25,64.6
Axolotl,Rafetus swinhoei,4740,17.96,75.56,2,8,Low,17.94,92.82
Hainan Gibbon,Nomascus hainanus,3604,5.29,47.43,1,6,Medium,71.19,41.09
Javan Rhino,Pholidota,602,19.36,20.43,4,2,High,10.67,49.99
Saola,Podiceps gallardoi,3903,27.33,81.89,5,1,Low,35.98,90.41
Mountain Gorilla,Pseudoryx nghetinhensis,2678,10.45,28.46,5,4,Low,39.24,90.72
Vaquita,Ambystoma mexicanum,3912,28.17,12.84,2,1,Low,63.36,38.53
Saola,Nomascus hainanus,765,7.44,83.94,3,5,Medium,23.94,75.8
Javan Rhino,Nomascus hainanus,1309,25.64,74.71,4,8,Medium,28.22,52.83
Hainan Gibbon,Panthera pardus orientalis,506,26.01,65.48,6,2,Low,6.07,93.94
Pangolin,Pholidota,4878,11.44,12.72,6,8,Medium,72.71,77.85
Vaquita,Podiceps gallardoi,2431,28.95,52.27,2,8,Medium,56.42,59.05
Amur Leopard,Nomascus hainanus,1608,15.41,62.29,2,6,Low,24.71,84.58
Saola,Panthera pardus orientalis,4289,8.53,70.75,9,8,Low,71.56,98.83
Javan Rhino,Pholidota,4137,19.79,47.69,2,2,Low,11.49,55.32
Axolotl,Pholidota,4388,29.92,86.27,2,7,High,32.63,49.51
Saola,Rhinoceros sondaicus,4941,27.48,29.58,3,8,Low,47.27,67.96
Saola,Podiceps gallardoi,3600,11.97,15.58,9,4,Low,42.91,73.96
Yangtze Giant Softshell Turtle,Pseudoryx nghetinhensis,4791,19.42,36.62,6,9,Low,54.12,75.65
Hainan Gibbon,Nomascus hainanus,471,7.88,62.94,6,6,Low,27.32,57.41
Hooded Grebe,Nomascus hainanus,4976,16.55,68.97,5,3,Low,61.84,46.25
Saola,Phocoena sinus,377,18.08,69.08,7,4,Low,35.41,84.93
Javan Rhino,Rafetus swinhoei,2715,12.88,18.85,4,4,Low,14.4,95.7
Hainan Gibbon,Phocoena sinus,3333,17.1,80.81,3,1,Low,60.53,88.25
Pangolin,Nomascus hainanus,175,28.0,32.47,7,1,High,73.4,73.91
Axolotl,Podiceps gallardoi,3696,17.5,26.79,1,1,Medium,32.33,48.45
Axolotl,Phocoena sinus,4092,25.77,59.16,6,4,High,49.22,69.18
Saola,Pseudoryx nghetinhensis,3057,12.93,26.95,2,1,High,56.59,27.99
Amur Leopard,Pseudoryx nghetinhensis,1738,29.29,50.64,2,6,Low,67.36,62.18
Hainan Gibbon,Gorilla beringei beringei,4707,7.34,42.56,8,2,Low,19.85,81.72
Pangolin,Gorilla beringei beringei,3679,19.64,28.56,3,1,Low,47.75,39.83
Mountain Gorilla,Gorilla beringei beringei,3184,24.75,33.36,9,7,Low,60.53,59.62
Yangtze Giant Softshell Turtle,Pholidota,2183,25.35,44.19,4,6,Medium,19.93,25.79
Amur Leopard,Podiceps gallardoi,47,9.96,37.69,6,1,Medium,40.44,86.24
Mountain Gorilla,Phocoena sinus,4453,15.04,40.53,1,9,High,39.83,47.67
Yangtze Giant Softshell Turtle,Pholidota,2031,20.6,68.83,3,6,Medium,67.95,65.99
Axolotl,Phocoena sinus,743,12.9,23.47,4,2,High,63.3,49.9
Mountain Gorilla,Podiceps gallardoi,4531,21.46,60.21,5,7,Low,22.39,67.21
Amur Leopard,Panthera pardus orientalis,657,14.47,64.25,1,3,High,22.47,78.79
Yangtze Giant Softshell Turtle,Ambystoma mexicanum,3312,13.77,74.17,4,7,High,59.25,45.82
Amur Leopard,Rhinoceros sondaicus,329,7.7,77.79,5,9,Medium,60.47,61.02
Amur Leopard,Gorilla beringei beringei,4617,5.98,22.69,4,5,High,18.42,82.8
Yangtze Giant Softshell Turtle,Podiceps gallardoi,2563,25.88,21.06,7,1,Low,35.84,74.34
Pangolin,Rhinoceros sondaicus,3188,17.24,59.18,8,5,Low,66.93,24.51
Axolotl,Ambystoma mexicanum,1732,19.07,70.55,8,8,Low,10.96,64.93
Saola,Panthera pardus orientalis,1766,14.31,31.79,3,8,Low,33.04,49.73
Hooded Grebe,Pseudoryx nghetinhensis,3688,8.42,52.07,5,3,Medium,53.34,75.99
Vaquita,Nomascus hainanus,3788,16.24,71.78,8,4,High,62.83,21.32
Saola,Rhinoceros sondaicus,2525,10.72,71.4,7,8,High,53.95,46.12
Mountain Gorilla,Ambystoma mexicanum,3857,25.94,62.31,9,8,High,34.81,26.83
Yangtze Giant Softshell Turtle,Pholidota,947,29.67,16.3,7,7,High,79.4,92.72
Pangolin,Podiceps gallardoi,774,27.23,14.05,2,6,Low,8.11,89.24
Pangolin,Podiceps gallardoi,662,18.21,41.08,4,4,Medium,42.11,96.48
Mountain Gorilla,Pseudoryx nghetinhensis,4090,20.7,12.13,8,9,High,43.25,70.83
Hainan Gibbon,Nomascus hainanus,3612,28.7,82.33,9,2,High,22.98,83.76
Amur Leopard,Gorilla beringei beringei,2139,18.47,11.61,7,2,Medium,46.9,68.34
Vaquita,Phocoena sinus,4586,20.96,12.37,5,1,High,21.5,58.87
Mountain Gorilla,Rhinoceros sondaicus,3974,20.73,23.23,1,3,Medium,38.26,85.87
Mountain Gorilla,Pholidota,4621,22.7,60.16,9,3,High,37.37,81.32
Hooded Grebe,Podiceps gallardoi,196,21.01,53.32,6,4,Medium,62.98,77.93
Saola,Rafetus swinhoei,155,21.77,62.76,2,3,High,75.69,90.62
Mountain Gorilla,Phocoena sinus,4257,23.15,81.48,2,6,Low,20.21,93.37
Hainan Gibbon,Pholidota,1396,25.23,46.4,1,9,High,79.36,55.18
Mountain Gorilla,Pseudoryx nghetinhensis,4198,15.08,13.51,4,8,Low,75.52,42.34
Mountain Gorilla,Phocoena sinus,2597,23.65,71.08,2,6,Medium,13.45,60.43
Saola,Podiceps gallardoi,2706,7.51,74.96,9,8,Low,73.43,27.35
Mountain Gorilla,Rhinoceros sondaicus,4022,26.9,13.99,2,8,High,47.34,94.11
Hainan Gibbon,Podiceps gallardoi,4707,12.25,29.43,9,6,Low,70.92,97.72
Saola,Gorilla beringei beringei,58,15.09,71.65,1,2,Low,75.92,71.56
Javan Rhino,Gorilla beringei beringei,3339,25.09,40.09,7,5,High,69.42,78.95
Axolotl,Ambystoma mexicanum,3599,20.92,47.81,6,4,Medium,35.22,45.57
Axolotl,Pholidota,2598,12.72,75.85,6,6,Low,52.76,88.44
Amur Leopard,Gorilla beringei beringei,3491,10.63,17.57,2,2,High,39.86,91.12
Vaquita,Ambystoma mexicanum,784,28.94,64.18,1,4,Low,32.48,26.08
Pangolin,Rhinoceros sondaicus,4651,7.19,27.2,8,8,Medium,23.8,30.38
Hooded Grebe,Pseudoryx nghetinhensis,1270,5.11,15.01,8,1,Medium,38.11,40.61
Hainan Gibbon,Pholidota,659,21.82,63.0,2,3,Medium,65.45,75.59
Axolotl,Rhinoceros sondaicus,3449,20.36,19.71,4,4,Low,68.3,34.49
Javan Rhino,Phocoena sinus,3058,23.44,69.76,4,2,High,76.85,37.39
Hainan Gibbon,Ambystoma mexicanum,2033,23.29,26.22,2,2,Medium,26.8,50.17
Saola,Ambystoma mexicanum,1090,26.58,13.88,9,6,High,53.78,68.32
Javan Rhino,Pholidota,4280,28.05,17.94,4,6,Medium,57.03,97.13
Hainan Gibbon,Gorilla beringei beringei,2084,24.38,77.3,4,3,Low,19.35,81.93
Axolotl,Phocoena sinus,4252,10.81,39.68,4,8,Low,32.52,64.11
Pangolin,Phocoena sinus,4973,16.59,34.18,5,3,Medium,30.67,23.9
Yangtze Giant Softshell Turtle,Ambystoma mexicanum,2322,21.04,49.3,8,2,High,78.94,60.83
Hooded Grebe,Rafetus swinhoei,3484,18.48,60.63,4,5,High,76.88,36.12
Hooded Grebe,Ambystoma mexicanum,2315,8.97,12.97,3,7,Medium,66.63,43.71
Hainan Gibbon,Gorilla beringei beringei,3270,19.73,81.86,1,1,Low,40.46,39.82
Axolotl,Gorilla beringei beringei,2884,27.16,86.68,2,2,High,24.81,47.45
Javan Rhino,Gorilla beringei beringei,4848,15.46,43.38,4,2,High,73.7,24.92
Axolotl,Phocoena sinus,4815,21.72,43.01,9,8,Low,25.1,65.57
Axolotl,Pseudoryx nghetinhensis,3320,20.4,80.28,1,6,High,44.15,23.61
Mountain Gorilla,Panthera pardus orientalis,1360,14.43,44.34,6,4,Medium,23.38,72.19
Yangtze Giant Softshell Turtle,Podiceps gallardoi,1103,19.13,78.5,6,4,Low,77.84,77.73
Mountain Gorilla,Nomascus hainanus,3786,10.26,12.27,3,5,Medium,8.13,58.4
Javan Rhino,Rafetus swinhoei,3106,18.65,49.17,9,3,Low,18.08,81.72
Yangtze Giant Softshell Turtle,Ambystoma mexicanum,1864,24.97,86.19,3,4,Medium,62.38,96.42
Axolotl,Pholidota,2276,23.97,30.22,1,4,Medium,16.36,46.86
Pangolin,Nomascus hainanus,570,13.95,31.29,2,7,Medium,78.45,68.89
Javan Rhino,Nomascus hainanus,4997,7.8,60.41,4,7,High,29.1,45.57
Hainan Gibbon,Pseudoryx nghetinhensis,4702,25.0,84.1,4,1,High,73.9,55.03
Hainan Gibbon,Rafetus swinhoei,4555,11.63,25.9,2,3,Medium,54.67,21.65
Hainan Gibbon,Gorilla beringei beringei,2393,6.33,83.73,6,9,Medium,52.56,25.87
Vaquita,Pholidota,1835,16.13,63.04,6,6,Low,73.65,83.0
Yangtze Giant Softshell Turtle,Gorilla beringei beringei,1693,23.49,89.44,3,6,High,43.5,31.05
Axolotl,Panthera pardus orientalis,1208,25.21,68.92,1,4,Medium,35.06,75.23
Axolotl,Rafetus swinhoei,1019,29.56,63.42,9,9,High,21.32,76.0
Yangtze Giant Softshell Turtle,Nomascus hainanus,1781,9.74,75.19,4,3,Low,15.84,98.7
